Comparing (Focus group),Cigarette Use Prevalence % (Focus group),To (Reference group),Cigarette Use Prevalence % (Reference group)
Age 25-44,22.7,Age 18-24,9.9
Age 25-44,22.7,Age 45-64,21.6
Age 25-44,22.7,Age 65 or older,11.0
Age 45-64,21.6,Age 18-24,9.9
Age 45-64,21.6,Age 25-44,22.7
Age 45-64,21.6,Age 65 or older,11.0
Age 65 or older,11.0,Age 18-24,9.9
Age 65 or older,11.0,Age 25-44,22.7
Age 65 or older,11.0,Age 45-64,21.6
Age 18-24,8.1,Age 25-44,19.5
Age 18-24,8.1,Age 45-64,21.2
Age 18-24,8.1,Age 65 or older,12.2
Age 25-44,19.5,Age 18-24,8.1
Age 25-44,19.5,Age 45-64,21.2
Age 25-44,19.5,Age 65 or older,12.2
Age 45-64,21.2,Age 18-24,8.1
Age 45-64,21.2,Age 25-44,19.5
Age 45-64,21.2,Age 65 or older,12.2
Age 65 or older,12.2,Age 18-24,8.1
Age 65 or older,12.2,Age 25-44,19.5
Age 65 or older,12.2,Age 45-64,21.2
Age 18-24,7.2,Age 25-44,15.2
Age 18-24,7.2,Age 45-64,14.3
Age 18-24,7.2,Age 65 or older,8.2
Age 25-44,15.2,Age 18-24,7.2
Age 25-44,15.2,Age 45-64,14.3
Age 25-44,15.2,Age 65 or older,8.2
Age 45-64,14.3,Age 18-24,7.2
Age 45-64,14.3,Age 25-44,15.2
Age 45-64,14.3,Age 65 or older,8.2
Age 65 or older,8.2,Age 18-24,7.2
Age 65 or older,8.2,Age 25-44,15.2
Age 65 or older,8.2,Age 45-64,14.3
Age 18-24,7.7,Age 25-44,17.9
Age 18-24,7.7,Age 45-64,17.4
Age 18-24,7.7,Age 65 or older,9.3
Age 25-44,17.9,Age 18-24,7.7
Age 25-44,17.9,Age 45-64,17.4
Age 25-44,17.9,Age 65 or older,9.3
Age 45-64,17.4,Age 18-24,7.7
Age 45-64,17.4,Age 25-44,17.9
Age 45-64,17.4,Age 65 or older,9.3
Age 65 or older,9.3,Age 18-24,7.7
Age 65 or older,9.3,Age 25-44,17.9
Age 65 or older,9.3,Age 45-64,17.4
Age 18-24,No Data,Age 25-44,14.7
Age 18-24,No Data,Age 45-64,15.8
Age 18-24,No Data,Age 65 or older,7.0
Age 25-44,14.7,Age 18-24,No Data
Age 25-44,14.7,Age 45-64,15.8
Age 25-44,14.7,Age 65 or older,7.0
Age 45-64,15.8,Age 18-24,No Data
Age 45-64,15.8,Age 25-44,14.7
Age 45-64,15.8,Age 65 or older,7.0
Age 65 or older,7.0,Age 18-24,No Data
Age 65 or older,7.0,Age 25-44,14.7
Age 65 or older,7.0,Age 45-64,15.8
Age 18-24,7.4,Age 25-44,19.2
Age 18-24,7.4,Age 45-64,19.6
Age 18-24,7.4,Age 65 or older,9.1
Age 25-44,19.2,Age 18-24,7.4
Age 25-44,19.2,Age 45-64,19.6
Age 25-44,19.2,Age 65 or older,9.1
Age 45-64,19.6,Age 18-24,7.4
Age 45-64,19.6,Age 25-44,19.2
Age 45-64,19.6,Age 65 or older,9.1
Age 65 or older,9.1,Age 18-24,7.4
Age 65 or older,9.1,Age 25-44,19.2
Age 65 or older,9.1,Age 45-64,19.6
Age 18-24,6.5,Age 25-44,22.3
Age 18-24,6.5,Age 45-64,16.9
Age 18-24,6.5,Age 65 or older,8.1
Age 25-44,22.3,Age 18-24,6.5
Age 25-44,22.3,Age 45-64,16.9
Age 25-44,22.3,Age 65 or older,8.1
Age 45-64,16.9,Age 18-24,6.5
Age 45-64,16.9,Age 25-44,22.3
Age 45-64,16.9,Age 65 or older,8.1
Age 65 or older,8.1,Age 18-24,6.5
Age 65 or older,8.1,Age 25-44,22.3
Age 65 or older,8.1,Age 45-64,16.9
Age 18-24,11.6,Age 25-44,23.3
Age 18-24,11.6,Age 45-64,22.3
Age 18-24,11.6,Age 65 or older,14.8
Age 25-44,23.3,Age 18-24,11.6
Age 25-44,23.3,Age 45-64,22.3
Age 25-44,23.3,Age 65 or older,14.8
Age 45-64,22.3,Age 18-24,11.6
Age 45-64,22.3,Age 25-44,23.3
Age 45-64,22.3,Age 65 or older,14.8
Age 65 or older,14.8,Age 18-24,11.6
Age 65 or older,14.8,Age 25-44,23.3
Age 65 or older,14.8,Age 45-64,22.3
Age 18-24,6.0,Age 25-44,16.1
Age 18-24,6.0,Age 45-64,15.6
Age 18-24,6.0,Age 65 or older,8.2
Age 25-44,16.1,Age 18-24,6.0
Age 25-44,16.1,Age 45-64,15.6
Age 25-44,16.1,Age 65 or older,8.2
Age 45-64,15.6,Age 18-24,6.0
Age 45-64,15.6,Age 25-44,16.1
Age 45-64,15.6,Age 65 or older,8.2
Age 65 or older,8.2,Age 18-24,6.0
Age 65 or older,8.2,Age 25-44,16.1
Age 65 or older,8.2,Age 45-64,15.6
Age 18-24,4.1,Age 25-44,9.4
Age 18-24,4.1,Age 45-64,7.8
Age 18-24,4.1,Age 65 or older,4.0
Age 25-44,9.4,Age 18-24,4.1
Age 25-44,9.4,Age 45-64,7.8
Age 25-44,9.4,Age 65 or older,4.0
Age 45-64,7.8,Age 18-24,4.1
Age 45-64,7.8,Age 25-44,9.4
Age 45-64,7.8,Age 65 or older,4.0
Age 65 or older,4.0,Age 18-24,4.1
Age 65 or older,4.0,Age 25-44,9.4
Age 65 or older,4.0,Age 45-64,7.8
Age 18-24,7.1,Age 25-44,22.4
Age 18-24,7.1,Age 45-64,15.7
Age 18-24,7.1,Age 65 or older,9.2
Age 25-44,22.4,Age 18-24,7.1
Age 25-44,22.4,Age 45-64,15.7
Age 25-44,22.4,Age 65 or older,9.2
Age 45-64,15.7,Age 18-24,7.1
Age 45-64,15.7,Age 25-44,22.4
Age 45-64,15.7,Age 65 or older,9.2
Age 65 or older,9.2,Age 18-24,7.1
Age 65 or older,9.2,Age 25-44,22.4
Age 65 or older,9.2,Age 45-64,15.7
Age 18-24,3.5,Age 25-44,15.7
Age 18-24,3.5,Age 45-64,15.5
Age 18-24,3.5,Age 65 or older,8.1
Age 25-44,15.7,Age 18-24,3.5
Age 25-44,15.7,Age 45-64,15.5
Age 25-44,15.7,Age 65 or older,8.1
Age 45-64,15.5,Age 18-24,3.5
Age 45-64,15.5,Age 25-44,15.7
Age 45-64,15.5,Age 65 or older,8.1
Age 65 or older,8.1,Age 18-24,3.5
Age 65 or older,8.1,Age 25-44,15.7
Age 65 or older,8.1,Age 45-64,15.5
Age 18-24,3.9,Age 25-44,12.1
Age 18-24,3.9,Age 45-64,13.7
Age 18-24,3.9,Age 65 or older,7.8
Age 25-44,12.1,Age 18-24,3.9
Age 25-44,12.1,Age 45-64,13.7
Age 25-44,12.1,Age 65 or older,7.8
Age 45-64,13.7,Age 18-24,3.9
Age 45-64,13.7,Age 25-44,12.1
Age 45-64,13.7,Age 65 or older,7.8
Age 65 or older,7.8,Age 18-24,3.9
Age 65 or older,7.8,Age 25-44,12.1
Age 65 or older,7.8,Age 45-64,13.7
Age 18-24,13.0,Age 25-44,32.3
Age 18-24,13.0,Age 45-64,24.7
Age 18-24,13.0,Age 65 or older,11.4
Age 25-44,32.3,Age 18-24,13.0
Age 25-44,32.3,Age 45-64,24.7
Age 25-44,32.3,Age 65 or older,11.4
Age 45-64,24.7,Age 18-24,13.0
Age 45-64,24.7,Age 25-44,32.3
Age 45-64,24.7,Age 65 or older,11.4
Age 65 or older,11.4,Age 18-24,13.0
Age 65 or older,11.4,Age 25-44,32.3
Age 65 or older,11.4,Age 45-64,24.7
Age 18-24,No Data,Age 25-44,16.3
Age 18-24,No Data,Age 45-64,17.2
Age 18-24,No Data,Age 65 or older,7.6
Age 25-44,16.3,Age 18-24,No Data
Age 25-44,16.3,Age 45-64,17.2
Age 25-44,16.3,Age 65 or older,7.6
Age 45-64,17.2,Age 18-24,No Data
Age 45-64,17.2,Age 25-44,16.3
Age 45-64,17.2,Age 65 or older,7.6
Age 65 or older,7.6,Age 18-24,No Data
Age 65 or older,7.6,Age 25-44,16.3
Age 65 or older,7.6,Age 45-64,17.2
Age 18-24,10.0,Age 25-44,19.9
Age 18-24,10.0,Age 45-64,21.0
Age 18-24,10.0,Age 65 or older,9.0
Age 25-44,19.9,Age 18-24,10.0
Age 25-44,19.9,Age 45-64,21.0
Age 25-44,19.9,Age 65 or older,9.0
Age 45-64,21.0,Age 18-24,10.0
Age 45-64,21.0,Age 25-44,19.9
Age 45-64,21.0,Age 65 or older,9.0
Age 65 or older,9.0,Age 18-24,10.0
Age 65 or older,9.0,Age 25-44,19.9
Age 65 or older,9.0,Age 45-64,21.0
Age 18-24,9.9,Age 25-44,19.0
Age 18-24,9.9,Age 45-64,19.3
Age 18-24,9.9,Age 65 or older,9.1
Age 25-44,19.0,Age 18-24,9.9
Age 25-44,19.0,Age 45-64,19.3
Age 25-44,19.0,Age 65 or older,9.1
Age 45-64,19.3,Age 18-24,9.9
Age 45-64,19.3,Age 25-44,19.0
Age 45-64,19.3,Age 65 or older,9.1
Age 65 or older,9.1,Age 18-24,9.9
Age 65 or older,9.1,Age 25-44,19.0
Age 65 or older,9.1,Age 45-64,19.3
Age 18-24,9.9,Age 25-44,19.1
Age 18-24,9.9,Age 45-64,18.9
Age 18-24,9.9,Age 65 or older,8.8
Age 25-44,19.1,Age 18-24,9.9
Age 25-44,19.1,Age 45-64,18.9
Age 25-44,19.1,Age 65 or older,8.8
Age 45-64,18.9,Age 18-24,9.9
Age 45-64,18.9,Age 25-44,19.1
Age 45-64,18.9,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,9.9
Age 65 or older,8.8,Age 25-44,19.1
Age 65 or older,8.8,Age 45-64,18.9
Age 18-24,6.5,Age 25-44,15.8
Age 18-24,6.5,Age 45-64,14.6
Age 18-24,6.5,Age 65 or older,9.2
Age 25-44,15.8,Age 18-24,6.5
Age 25-44,15.8,Age 45-64,14.6
Age 25-44,15.8,Age 65 or older,9.2
Age 45-64,14.6,Age 18-24,6.5
Age 45-64,14.6,Age 25-44,15.8
Age 45-64,14.6,Age 65 or older,9.2
Age 65 or older,9.2,Age 18-24,6.5
Age 65 or older,9.2,Age 25-44,15.8
Age 65 or older,9.2,Age 45-64,14.6
Age 18-24,6.4,Age 25-44,23.9
Age 18-24,6.4,Age 45-64,24.0
Age 18-24,6.4,Age 65 or older,11.4
Age 25-44,23.9,Age 18-24,6.4
Age 25-44,23.9,Age 45-64,24.0
Age 25-44,23.9,Age 65 or older,11.4
Age 45-64,24.0,Age 18-24,6.4
Age 45-64,24.0,Age 25-44,23.9
Age 45-64,24.0,Age 65 or older,11.4
Age 65 or older,11.4,Age 18-24,6.4
Age 65 or older,11.4,Age 25-44,23.9
Age 65 or older,11.4,Age 45-64,24.0
Age 18-24,4.0,Age 25-44,11.8
Age 18-24,4.0,Age 45-64,11.9
Age 18-24,4.0,Age 65 or older,6.3
Age 25-44,11.8,Age 18-24,4.0
Age 25-44,11.8,Age 45-64,11.9
Age 25-44,11.8,Age 65 or older,6.3
Age 45-64,11.9,Age 18-24,4.0
Age 45-64,11.9,Age 25-44,11.8
Age 45-64,11.9,Age 65 or older,6.3
Age 65 or older,6.3,Age 18-24,4.0
Age 65 or older,6.3,Age 25-44,11.8
Age 65 or older,6.3,Age 45-64,11.9
Age 18-24,7.1,Age 25-44,13.0
Age 18-24,7.1,Age 45-64,11.9
Age 18-24,7.1,Age 65 or older,6.8
Age 25-44,13.0,Age 18-24,7.1
Age 25-44,13.0,Age 45-64,11.9
Age 25-44,13.0,Age 65 or older,6.8
Age 45-64,11.9,Age 18-24,7.1
Age 45-64,11.9,Age 25-44,13.0
Age 45-64,11.9,Age 65 or older,6.8
Age 65 or older,6.8,Age 18-24,7.1
Age 65 or older,6.8,Age 25-44,13.0
Age 65 or older,6.8,Age 45-64,11.9
Age 18-24,6.3,Age 25-44,11.2
Age 18-24,6.3,Age 45-64,12.5
Age 18-24,6.3,Age 65 or older,7.1
Age 25-44,11.2,Age 18-24,6.3
Age 25-44,11.2,Age 45-64,12.5
Age 25-44,11.2,Age 65 or older,7.1
Age 45-64,12.5,Age 18-24,6.3
Age 45-64,12.5,Age 25-44,11.2
Age 45-64,12.5,Age 65 or older,7.1
Age 65 or older,7.1,Age 18-24,6.3
Age 65 or older,7.1,Age 25-44,11.2
Age 65 or older,7.1,Age 45-64,12.5
Age 18-24,No Data,Age 25-44,16.6
Age 18-24,No Data,Age 45-64,16.6
Age 18-24,No Data,Age 65 or older,7.6
Age 25-44,16.6,Age 18-24,No Data
Age 25-44,16.6,Age 45-64,16.6
Age 25-44,16.6,Age 65 or older,7.6
Age 45-64,16.6,Age 18-24,No Data
Age 45-64,16.6,Age 25-44,16.6
Age 45-64,16.6,Age 65 or older,7.6
Age 65 or older,7.6,Age 18-24,No Data
Age 65 or older,7.6,Age 25-44,16.6
Age 65 or older,7.6,Age 45-64,16.6
Age 18-24,No Data,Age 25-44,11.1
Age 18-24,No Data,Age 45-64,14.3
Age 18-24,No Data,Age 65 or older,6.5
Age 25-44,11.1,Age 18-24,No Data
Age 25-44,11.1,Age 45-64,14.3
Age 25-44,11.1,Age 65 or older,6.5
Age 45-64,14.3,Age 18-24,No Data
Age 45-64,14.3,Age 25-44,11.1
Age 45-64,14.3,Age 65 or older,6.5
Age 65 or older,6.5,Age 18-24,No Data
Age 65 or older,6.5,Age 25-44,11.1
Age 65 or older,6.5,Age 45-64,14.3
Age 18-24,No Data,Age 25-44,15.1
Age 18-24,No Data,Age 45-64,14.2
Age 18-24,No Data,Age 65 or older,6.7
Age 25-44,15.1,Age 18-24,No Data
Age 25-44,15.1,Age 45-64,14.2
Age 25-44,15.1,Age 65 or older,6.7
Age 45-64,14.2,Age 18-24,No Data
Age 45-64,14.2,Age 25-44,15.1
Age 45-64,14.2,Age 65 or older,6.7
Age 65 or older,6.7,Age 18-24,No Data
Age 65 or older,6.7,Age 25-44,15.1
Age 65 or older,6.7,Age 45-64,14.2
Age 18-24,4.7,Age 25-44,15.2
Age 18-24,4.7,Age 45-64,14.7
Age 18-24,4.7,Age 65 or older,9.7
Age 25-44,15.2,Age 18-24,4.7
Age 25-44,15.2,Age 45-64,14.7
Age 25-44,15.2,Age 65 or older,9.7
Age 45-64,14.7,Age 18-24,4.7
Age 45-64,14.7,Age 25-44,15.2
Age 45-64,14.7,Age 65 or older,9.7
Age 65 or older,9.7,Age 18-24,4.7
Age 65 or older,9.7,Age 25-44,15.2
Age 65 or older,9.7,Age 45-64,14.7
Age 18-24,3.0,Age 25-44,14.1
Age 18-24,3.0,Age 45-64,11.6
Age 18-24,3.0,Age 65 or older,5.7
Age 25-44,14.1,Age 18-24,3.0
Age 25-44,14.1,Age 45-64,11.6
Age 25-44,14.1,Age 65 or older,5.7
Age 45-64,11.6,Age 18-24,3.0
Age 45-64,11.6,Age 25-44,14.1
Age 45-64,11.6,Age 65 or older,5.7
Age 65 or older,5.7,Age 18-24,3.0
Age 65 or older,5.7,Age 25-44,14.1
Age 65 or older,5.7,Age 45-64,11.6
Age 18-24,8.8,Age 25-44,14.1
Age 18-24,8.8,Age 45-64,14.3
Age 18-24,8.8,Age 65 or older,7.2
Age 25-44,14.1,Age 18-24,8.8
Age 25-44,14.1,Age 45-64,14.3
Age 25-44,14.1,Age 65 or older,7.2
Age 45-64,14.3,Age 18-24,8.8
Age 45-64,14.3,Age 25-44,14.1
Age 45-64,14.3,Age 65 or older,7.2
Age 65 or older,7.2,Age 18-24,8.8
Age 65 or older,7.2,Age 25-44,14.1
Age 65 or older,7.2,Age 45-64,14.3
Age 18-24,5.8,Age 25-44,15.0
Age 18-24,5.8,Age 45-64,15.2
Age 18-24,5.8,Age 65 or older,8.2
Age 25-44,15.0,Age 18-24,5.8
Age 25-44,15.0,Age 45-64,15.2
Age 25-44,15.0,Age 65 or older,8.2
Age 45-64,15.2,Age 18-24,5.8
Age 45-64,15.2,Age 25-44,15.0
Age 45-64,15.2,Age 65 or older,8.2
Age 65 or older,8.2,Age 18-24,5.8
Age 65 or older,8.2,Age 25-44,15.0
Age 65 or older,8.2,Age 45-64,15.2
Age 18-24,5.2,Age 25-44,20.0
Age 18-24,5.2,Age 45-64,21.1
Age 18-24,5.2,Age 65 or older,10.5
Age 25-44,20.0,Age 18-24,5.2
Age 25-44,20.0,Age 45-64,21.1
Age 25-44,20.0,Age 65 or older,10.5
Age 45-64,21.1,Age 18-24,5.2
Age 45-64,21.1,Age 25-44,20.0
Age 45-64,21.1,Age 65 or older,10.5
Age 65 or older,10.5,Age 18-24,5.2
Age 65 or older,10.5,Age 25-44,20.0
Age 65 or older,10.5,Age 45-64,21.1
Age 18-24,8.0,Age 25-44,18.4
Age 18-24,8.0,Age 45-64,18.7
Age 18-24,8.0,Age 65 or older,8.5
Age 25-44,18.4,Age 18-24,8.0
Age 25-44,18.4,Age 45-64,18.7
Age 25-44,18.4,Age 65 or older,8.5
Age 45-64,18.7,Age 18-24,8.0
Age 45-64,18.7,Age 25-44,18.4
Age 45-64,18.7,Age 65 or older,8.5
Age 65 or older,8.5,Age 18-24,8.0
Age 65 or older,8.5,Age 25-44,18.4
Age 65 or older,8.5,Age 45-64,18.7
Age 18-24,6.7,Age 25-44,17.6
Age 18-24,6.7,Age 45-64,18.1
Age 18-24,6.7,Age 65 or older,10.2
Age 25-44,17.6,Age 18-24,6.7
Age 25-44,17.6,Age 45-64,18.1
Age 25-44,17.6,Age 65 or older,10.2
Age 45-64,18.1,Age 18-24,6.7
Age 45-64,18.1,Age 25-44,17.6
Age 45-64,18.1,Age 65 or older,10.2
Age 65 or older,10.2,Age 18-24,6.7
Age 65 or older,10.2,Age 25-44,17.6
Age 65 or older,10.2,Age 45-64,18.1
Age 18-24,9.2,Age 25-44,17.0
Age 18-24,9.2,Age 45-64,25.0
Age 18-24,9.2,Age 65 or older,11.7
Age 25-44,17.0,Age 18-24,9.2
Age 25-44,17.0,Age 45-64,25.0
Age 25-44,17.0,Age 65 or older,11.7
Age 45-64,25.0,Age 18-24,9.2
Age 45-64,25.0,Age 25-44,17.0
Age 45-64,25.0,Age 65 or older,11.7
Age 65 or older,11.7,Age 18-24,9.2
Age 65 or older,11.7,Age 25-44,17.0
Age 65 or older,11.7,Age 45-64,25.0
Age 18-24,5.8,Age 25-44,19.3
Age 18-24,5.8,Age 45-64,21.6
Age 18-24,5.8,Age 65 or older,12.0
Age 25-44,19.3,Age 18-24,5.8
Age 25-44,19.3,Age 45-64,21.6
Age 25-44,19.3,Age 65 or older,12.0
Age 45-64,21.6,Age 18-24,5.8
Age 45-64,21.6,Age 25-44,19.3
Age 45-64,21.6,Age 65 or older,12.0
Age 65 or older,12.0,Age 18-24,5.8
Age 65 or older,12.0,Age 25-44,19.3
Age 65 or older,12.0,Age 45-64,21.6
Age 18-24,12.4,Age 25-44,19.3
Age 18-24,12.4,Age 45-64,17.2
Age 18-24,12.4,Age 65 or older,8.9
Age 25-44,19.3,Age 18-24,12.4
Age 25-44,19.3,Age 45-64,17.2
Age 25-44,19.3,Age 65 or older,8.9
Age 45-64,17.2,Age 18-24,12.4
Age 45-64,17.2,Age 25-44,19.3
Age 45-64,17.2,Age 65 or older,8.9
Age 65 or older,8.9,Age 18-24,12.4
Age 65 or older,8.9,Age 25-44,19.3
Age 65 or older,8.9,Age 45-64,17.2
Age 18-24,3.3,Age 25-44,12.2
Age 18-24,3.3,Age 45-64,11.3
Age 18-24,3.3,Age 65 or older,6.4
Age 25-44,12.2,Age 18-24,3.3
Age 25-44,12.2,Age 45-64,11.3
Age 25-44,12.2,Age 65 or older,6.4
Age 45-64,11.3,Age 18-24,3.3
Age 45-64,11.3,Age 25-44,12.2
Age 45-64,11.3,Age 65 or older,6.4
Age 65 or older,6.4,Age 18-24,3.3
Age 65 or older,6.4,Age 25-44,12.2
Age 65 or older,6.4,Age 45-64,11.3
Age 18-24,6.2,Age 25-44,12.6
Age 18-24,6.2,Age 45-64,11.5
Age 18-24,6.2,Age 65 or older,8.1
Age 25-44,12.6,Age 18-24,6.2
Age 25-44,12.6,Age 45-64,11.5
Age 25-44,12.6,Age 65 or older,8.1
Age 45-64,11.5,Age 18-24,6.2
Age 45-64,11.5,Age 25-44,12.6
Age 45-64,11.5,Age 65 or older,8.1
Age 65 or older,8.1,Age 18-24,6.2
Age 65 or older,8.1,Age 25-44,12.6
Age 65 or older,8.1,Age 45-64,11.5
Age 18-24,6.5,Age 25-44,19.1
Age 18-24,6.5,Age 45-64,19.1
Age 18-24,6.5,Age 65 or older,9.8
Age 25-44,19.1,Age 18-24,6.5
Age 25-44,19.1,Age 45-64,19.1
Age 25-44,19.1,Age 65 or older,9.8
Age 45-64,19.1,Age 18-24,6.5
Age 45-64,19.1,Age 25-44,19.1
Age 45-64,19.1,Age 65 or older,9.8
Age 65 or older,9.8,Age 18-24,6.5
Age 65 or older,9.8,Age 25-44,19.1
Age 65 or older,9.8,Age 45-64,19.1
Age 18-24,8.1,Age 25-44,15.8
Age 18-24,8.1,Age 45-64,15.0
Age 18-24,8.1,Age 65 or older,8.5
Age 25-44,15.8,Age 18-24,8.1
Age 25-44,15.8,Age 45-64,15.0
Age 25-44,15.8,Age 65 or older,8.5
Age 45-64,15.0,Age 18-24,8.1
Age 45-64,15.0,Age 25-44,15.8
Age 45-64,15.0,Age 65 or older,8.5
Age 65 or older,8.5,Age 18-24,8.1
Age 65 or older,8.5,Age 25-44,15.8
Age 65 or older,8.5,Age 45-64,15.0
Age 18-24,8.0,Age 25-44,21.0
Age 18-24,8.0,Age 45-64,21.0
Age 18-24,8.0,Age 65 or older,12.9
Age 25-44,21.0,Age 18-24,8.0
Age 25-44,21.0,Age 45-64,21.0
Age 25-44,21.0,Age 65 or older,12.9
Age 45-64,21.0,Age 18-24,8.0
Age 45-64,21.0,Age 25-44,21.0
Age 45-64,21.0,Age 65 or older,12.9
Age 65 or older,12.9,Age 18-24,8.0
Age 65 or older,12.9,Age 25-44,21.0
Age 65 or older,12.9,Age 45-64,21.0
Age 18-24,6.3,Age 25-44,23.3
Age 18-24,6.3,Age 45-64,18.8
Age 18-24,6.3,Age 65 or older,10.5
Age 25-44,23.3,Age 18-24,6.3
Age 25-44,23.3,Age 45-64,18.8
Age 25-44,23.3,Age 65 or older,10.5
Age 45-64,18.8,Age 18-24,6.3
Age 45-64,18.8,Age 25-44,23.3
Age 45-64,18.8,Age 65 or older,10.5
Age 65 or older,10.5,Age 18-24,6.3
Age 65 or older,10.5,Age 25-44,23.3
Age 65 or older,10.5,Age 45-64,18.8
Age 18-24,11.3,Age 25-44,19.7
Age 18-24,11.3,Age 45-64,17.1
Age 18-24,11.3,Age 65 or older,9.4
Age 25-44,19.7,Age 18-24,11.3
Age 25-44,19.7,Age 45-64,17.1
Age 25-44,19.7,Age 65 or older,9.4
Age 45-64,17.1,Age 18-24,11.3
Age 45-64,17.1,Age 25-44,19.7
Age 45-64,17.1,Age 65 or older,9.4
Age 65 or older,9.4,Age 18-24,11.3
Age 65 or older,9.4,Age 25-44,19.7
Age 65 or older,9.4,Age 45-64,17.1
Age 18-24,8.9,Age 25-44,15.4
Age 18-24,8.9,Age 45-64,15.9
Age 18-24,8.9,Age 65 or older,8.1
Age 25-44,15.4,Age 18-24,8.9
Age 25-44,15.4,Age 45-64,15.9
Age 25-44,15.4,Age 65 or older,8.1
Age 45-64,15.9,Age 18-24,8.9
Age 45-64,15.9,Age 25-44,15.4
Age 45-64,15.9,Age 65 or older,8.1
Age 65 or older,8.1,Age 18-24,8.9
Age 65 or older,8.1,Age 25-44,15.4
Age 65 or older,8.1,Age 45-64,15.9
Age 18-24,No Data,Age 25-44,15.3
Age 18-24,No Data,Age 45-64,17.2
Age 18-24,No Data,Age 65 or older,13.2
Age 25-44,15.3,Age 18-24,No Data
Age 25-44,15.3,Age 45-64,17.2
Age 25-44,15.3,Age 65 or older,13.2
Age 45-64,17.2,Age 18-24,No Data
Age 45-64,17.2,Age 25-44,15.3
Age 45-64,17.2,Age 65 or older,13.2
Age 65 or older,13.2,Age 18-24,No Data
Age 65 or older,13.2,Age 25-44,15.3
Age 65 or older,13.2,Age 45-64,17.2
Age 18-24,No Data,Age 25-44,13.6
Age 18-24,No Data,Age 45-64,13.9
Age 18-24,No Data,Age 65 or older,7.6
Age 25-44,13.6,Age 18-24,No Data
Age 25-44,13.6,Age 45-64,13.9
Age 25-44,13.6,Age 65 or older,7.6
Age 45-64,13.9,Age 18-24,No Data
Age 45-64,13.9,Age 25-44,13.6
Age 45-64,13.9,Age 65 or older,7.6
Age 65 or older,7.6,Age 18-24,No Data
Age 65 or older,7.6,Age 25-44,13.6
Age 65 or older,7.6,Age 45-64,13.9
Age 18-24,4.4,Age 25-44,12.7
Age 18-24,4.4,Age 45-64,12.9
Age 18-24,4.4,Age 65 or older,6.7
Age 25-44,12.7,Age 18-24,4.4
Age 25-44,12.7,Age 45-64,12.9
Age 25-44,12.7,Age 65 or older,6.7
Age 45-64,12.9,Age 18-24,4.4
Age 45-64,12.9,Age 25-44,12.7
Age 45-64,12.9,Age 65 or older,6.7
Age 65 or older,6.7,Age 18-24,4.4
Age 65 or older,6.7,Age 25-44,12.7
Age 65 or older,6.7,Age 45-64,12.9
Age 18-24,11.0,Age 25-44,17.9
Age 18-24,11.0,Age 45-64,16.9
Age 18-24,11.0,Age 65 or older,10.7
Age 25-44,17.9,Age 18-24,11.0
Age 25-44,17.9,Age 45-64,16.9
Age 25-44,17.9,Age 65 or older,10.7
Age 45-64,16.9,Age 18-24,11.0
Age 45-64,16.9,Age 25-44,17.9
Age 45-64,16.9,Age 65 or older,10.7
Age 65 or older,10.7,Age 18-24,11.0
Age 65 or older,10.7,Age 25-44,17.9
Age 65 or older,10.7,Age 45-64,16.9
Age 18-24,5.7,Age 25-44,13.4
Age 18-24,5.7,Age 45-64,13.3
Age 18-24,5.7,Age 65 or older,8.1
Age 25-44,13.4,Age 18-24,5.7
Age 25-44,13.4,Age 45-64,13.3
Age 25-44,13.4,Age 65 or older,8.1
Age 45-64,13.3,Age 18-24,5.7
Age 45-64,13.3,Age 25-44,13.4
Age 45-64,13.3,Age 65 or older,8.1
Age 65 or older,8.1,Age 18-24,5.7
Age 65 or older,8.1,Age 25-44,13.4
Age 65 or older,8.1,Age 45-64,13.3
Age 18-24,13.6,Age 25-44,16.8
Age 18-24,13.6,Age 45-64,15.5
Age 18-24,13.6,Age 65 or older,10.1
Age 25-44,16.8,Age 18-24,13.6
Age 25-44,16.8,Age 45-64,15.5
Age 25-44,16.8,Age 65 or older,10.1
Age 45-64,15.5,Age 18-24,13.6
Age 45-64,15.5,Age 25-44,16.8
Age 45-64,15.5,Age 65 or older,10.1
Age 65 or older,10.1,Age 18-24,13.6
Age 65 or older,10.1,Age 25-44,16.8
Age 65 or older,10.1,Age 45-64,15.5
Age 18-24,8.2,Age 25-44,19.5
Age 18-24,8.2,Age 45-64,17.2
Age 18-24,8.2,Age 65 or older,9.9
Age 25-44,19.5,Age 18-24,8.2
Age 25-44,19.5,Age 45-64,17.2
Age 25-44,19.5,Age 65 or older,9.9
Age 45-64,17.2,Age 18-24,8.2
Age 45-64,17.2,Age 25-44,19.5
Age 45-64,17.2,Age 65 or older,9.9
Age 65 or older,9.9,Age 18-24,8.2
Age 65 or older,9.9,Age 25-44,19.5
Age 65 or older,9.9,Age 45-64,17.2
Age 18-24,8.4,Age 25-44,20.7
Age 18-24,8.4,Age 45-64,21.0
Age 18-24,8.4,Age 65 or older,11.4
Age 25-44,20.7,Age 18-24,8.4
Age 25-44,20.7,Age 45-64,21.0
Age 25-44,20.7,Age 65 or older,11.4
Age 45-64,21.0,Age 18-24,8.4
Age 45-64,21.0,Age 25-44,20.7
Age 45-64,21.0,Age 65 or older,11.4
Age 65 or older,11.4,Age 18-24,8.4
